x,prev,prevN,y
partner,my,acquainted with,-1
engagements,evening,occasionally in,1
house,the,she entered,-1
occasion,every,wickham on,-1
manner,different,a very,-1
pleasure,affording,means of,-1
room,the,she entered,-1
conduct,s,the gentleman,-1
chief,the,next morning,-1
state,unregenerate,of his,-1
part,my,wanting on,-1
place,took,formidable introduction,-1
dance,me,you saw,-1
part,every,the scheme,-1
doors,of,foot out,1
curiosities,what,who knew,1
power,my,assistance in,-1
aunt,his,part of,-1
daughter,married,show her,-1
music,of,thorough knowledge,-1
marriage,my,violated by,-1
behaviour,relations,and her,-1
claims,has,engagements society,1
friend,her,heard from,-1
side,the,walk by,-1
life,in,very early,-1
nephew,her,pride of,-1
whisper,half,in a,-1
importance,of,the want,-1
ground,rising,situated on,-1
illustration,female,an elegant,-1
inquiry,possible,making every,-1
letter,his,said mary,-1
1.f.3,paragraph,provided in,-1
sister,his,affection for,-1
shame,of,her sense,-1
nothing,is,enough there,-1
day,whole,for a,-1
girl,selfish,nephew unfeeling,-1
air,his,brow contracted,-1
circumstances,of,this change,1
acknowledging,in,unpardonable assurance,-1
song,second,finished her,-1
course,of,suspense was,-1
want,their,than from,-1
officer,no,of it,-1
success,its,known till,-1
knowledge,prior,mentioning her,-1
sense,much,have too,-1
crayons,in,darcy s,1
house,the,admission to,-1
families,twenty,four and,1
idea,the,fluttered at,-1
means,the,has been,1
exaggeration,some,spirit and,-1
interruption,without,to dwell,-1
gentlemen,the,expected on,1
use,no,will be,-1
husband,rich,get a,-1
conversation,earnest,engaged in,-1
month,twelve,which a,-1
engagements,various,amidst the,1
education,your,slave to,-1
intimacy,increasing,of their,-1
efforts,the,because of,1
object,of:--its,any conception,-1
year,a,coming out,-1
daughters,his,respectability of,1
talents,talents,direction of,1
daughter,second,missed his,-1
landing,the,maria in,-1
girl,grown,stout well,-1
subject,the,former continued,-1
nephew,her,her like,-1
stage,the,once on,-1
reception,s,london georgiana,-1
nothing,doing,by so,-1
letter,that,i wrote,-1
persisting,her,consequence of,-1
affection,s,not wickham,-1
objection,no,should have,-1
daughters,her,absence of,1
assembly,the,behaviour at,-1
alarm,laughing,of half,-1
room,my,secondly of,-1
advantages,the,felt all,1
state,pitiable,a most,-1
paper,of,four sides,-1
inconvenience,or,little expense,-1
guide,constant,be my,-1
flirt,common,as a,-1
delight,epicurean,took an,-1
spirit,with,their acquaintance,-1
family,the,abode in,-1
manners,her,youth and,1
aunt,and,my uncle,-1
observation,their,niece directed,-1
sister,her,the difference,-1
nothing,said,but he,-1
pleasure,great,at least,-1
nieces,four,placed out,1
entreaty,little,after very,-1
end,the,house by,-1
circumstances,s,mr. wickham,1
wife,his,raptures of,-1
step,a,and as,-1
everything,of,in spite,-1
impression,strong,retained a,-1
uncle,her,appeals of,-1
subjects,few,supply but,1
recommendation,and,particular advice,-1
home,comfortable,only a,-1
safety,in,had arrived,-1
folly,their,unfortunate for,-1
word,another,not speak,-1
leave,his,time as,-1
world,the,ways of,-1
cousin,his,behaviour to,-1
work,the,appearing on,-1
town,from,day before,-1
visit,hunsford,that your,-1
trade,in,been formerly,-1
evening,the,again in,-1
gentlemen,the,further and,1
desire,her,assistance from,-1
carriage,the,possibly have,-1
shyness,whose,room and,-1
case,the,whichever were,-1
years,three,two or,1
moment,a,looked for,-1
indifference,my,belief of,-1
life,her,rest of,-1
persevering,s,miss lucas,-1
company,in,be much,-1
story,different,a very,-1
light,disgraceful,what a,-1
strength,the,feared for,-1
sentence,every,elizabeth noticed,-1
compassion,of,the object,-1
women,charming,sisters are,1
obstinacy,that,fancy lizzy,-1
man,a,figure of,-1
admittance,have,shall never,-1
syllable,a,worse not,-1
exercise,which,the brilliancy,-1
town,to,you went,-1
interview,their,particulars of,-1
visitors,eligible,of more,1
course,of,merely words,-1
village,the,forth into,-1
inducement,chief,was my,-1
art,the,comparison to,-1
form,her,symmetry in,-1
renewal,a,to expect,-1
disgrace,a,will be,-1
punishment,a,and as,-1
gloom,the,friend but,-1
device,paltry,is a,-1
moment,one,give me,-1
wife,his,enjoyments to,-1
meaning,their,to distrust,-1
fortune,small,women of,-1
mention,the,lead to,-1
moment,a,at such,-1
consequence,the,refused him,-1
lady,and,a gentleman,-1
subject,this,comfortable on,-1
youth,by,father captivated,-1
mother,my,ten minutes,-1
nothing,which,of speaking,-1
course,of,proposals which,-1
judge,the,to be,-1
sister,her,expected for,-1
way,healthiest,in the,-1
marriage,in,equal felicity,-1
daughter,her,know that,-1
middle,the,was in,-1
miles,several,after walking,1
everything,by,by reflection,-1
friend,my,they had,-1
motives,their,actions and,1
feature,good,hardly a,-1
society,his,or admit,-1
town,market,a small,-1
nonsense,as,on them,-1
harp,the,improvement on,-1
woman,of,common weaknesses,-1
visits,these,room during,1
death,the,would be,-1
objection,no,can have,-1
fact,the,women but,-1
abhorrent,so,no indignity,-1
medium,physical,in a,-1
world,the,often happen,-1
study,habitual,education and,-1
occasion,present,on the,-1
report,present,of the,-1
identification,tax,or federal,-1
church,the,patronage in,-1
head,his,only shook,-1
room,drawing,into the,-1
youth,my,companion of,-1
gratitude,of,with tears,-1
respectability,and,not disdain,-1
object,an,never without,-1
mother,her,sitting with,-1
view,every,asked for,-1
engagement,your,and keep,-1
match,eligible,a most,-1
reasons,my,of course,1
candour,generous,disdained the,-1
permission,without,united states,-1
objection,no,elizabeth made,-1
everybody,and,the world,-1
smile,a,replied with,-1
ball,a,books in,-1
coming,his,again by,-1
age,your,what is,-1
substance,the,motive and,-1
loss,great,be a,-1
journey,his,to begin,-1
discovery,this,humiliating is,-1
point,the,came to,-1
penance,voluntary,or a,-1
letter,first,of the,-1
sister,her,best but,-1
yourselves,conducted,to have,1
credit,him,not given,-1
strokes,unforced,myriad trivial,1
pleasure,equal,felicitations with,-1
manner,sportive,her lively,-1
making,sermon,time when,-1
clergyman,every,thing for,-1
well,your,and daughters,-1
wife,a,he had,-1
family,her,large for,-1
address,an,knighthood by,-1
affection,her,woman conceals,-1
everything,hope,come i,-1
alacrity,joyful,a most,-1
air,rapturous,with a,-1
anyone,to,little advantage,-1
relation,a,it is,-1
moment,that,child at,-1
perusal,the,formation and,-1
trouble,the,give himself,-1
gentleman,a,circumstance of,-1
credit,the,is to,-1
aunt,his,having seen,-1
others,all,praise of,1
concern,unavailing,real though,-1
officers,the,quest of,1
idea,the,eligible visitors,-1
discontinuance,years,after many,-1
anything,in,which delighted,-1
heart,whole,that her,-1
party,whole,of the,-1
coffee,to,help anybody,-1
motives,the,told her,1
uneasiness,any,give them,-1
journey,good,them a,-1
servants,keep,i always,1
card,the,muffin when,-1
face,her,looked in,-1
angel,an,he is,-1
assistant,faithful,cried his,-1
uncle,our,find from,-1
resolution,desperate,forming a,-1
course,of,younge was,-1
time,this,there at,-1
visitors,their,getting husbands,1
need,no,there was,-1
angel,an,not conceive,-1
weather,what,catherine determine,-1
anybody,know,do not,-1
proposals,the,know that,1
trouble,much,give so,-1
anxiety,whatever,his sister,-1
situation,a,little such,-1
ladies,final,in the,1
officers,the,attentions of,1
officers,six,at least,1
love,prosperous,publish his,-1
deal,great,say a,-1
match,a,so imprudent,-1
courses,full,have two,1
morning,next,town the,-1
leisure,at,father was,-1
news,some,have gained,-1
table,at,just room,-1
secrecy,her,motives of,-1
case,the,though in,-1
writing,of,my style,-1
neighbour,their,intelligence of,-1
friend,his,defence of,-1
copyright,the,imposed by,-1
letter,the,she finished,-1
promise,that,to obtain,-1
wink,a,t get,-1
bitterness,much,related with,-1
knowledge,the,guard from,-1
carriage,own,as their,-1
breakfast,after,them soon,-1
sister,my,regret in,-1
messages,by,his attention,1
relief,seasonable,was a,-1
heart,s,mrs. bennet,-1
kind,some,to introduce,-1
state,real,observe the,-1
party,the,and when,-1
instrument,our,hear you,-1
visits,the,mistress but,1
notice,their,horses drew,-1
justice,such,one with,-1
something,said,miss bingley,-1
manner,his,softened by,-1
rest,the,wickham and,-1
comfort,and,the leisure,-1
courage,have,you ever,-1
conversation,in,had passed,-1
design,by,wickham undoubtedly,-1
nothing,have,imprudent i,-1
fellow,my,many of,-1
expenses,and,liability costs,1
friend,dear,of their,-1
sister,her,over and,-1
command,consummate,which displayed,-1
others,the,true are,1
uncle,your,be of,-1
mother,her,allusion of,-1
comfort,any,give her,-1
stranger,no,i am,-1
questions,the,behaved were,1
awkwardness,the,felt for,-1
patron,his,son of,-1
anxiety,same,sisters the,-1
name,the,equally avoid,-1
family,longbourn,with the,-1
resemblance,a,to trace,-1
words,her,rejoice over,1
days,four,have spent,1
countenance,his,goodness in,-1
family,the,felt in,-1
screen,a,or covering,-1
opportunity,an,to resist,-1
everything,of,his commendation,-1
people,other,i dread,1
humour,ill,formed for,-1
m^{rs,m^{r,news illustration,-1
look,parting,one serious,-1
skill,unerring,with such,-1
uncles,your,who are,1
face,her,animation to,-1
answer,no,and made,-1
suddenness,the,and though,-1
understanding,her,she is,-1
parts,narrowest,of its,1
credit,the,as if,-1
comfort,great,is a,-1
time,little,pain a,-1
family,her,could assure,-1
harmony,into,scold them,-1
steward,s,mr. darcy,-1
world,the,patience in,-1
something,is,contrary there,-1
marriage,approaching,on his,-1
ladies,young,the other,1
dispute,serious,that a,-1
antagonist,his,himself as,-1
friends,his,influence of,1
attention,s,mr. bingley,-1
infatuation,of,a moment,-1
town,in,my being,-1
friend,my,to preserve,-1
perseverance,great,dovedale with,-1
intelligence,and,and affection,-1
father,her,in leaving,-1
church,the,kent from,-1
church,at,ensuing sunday,-1
celerity,such,gone with,-1
beginning,very,in the,-1
person,the,not be,-1
connections,own,among his,1
regimentals,only,man wanted,1
inquiry,some,either making,-1
smile,a,think without,-1
differences,their,to settle,1
ways,the,young in,1
invitation,an,give him,-1
copyright,tolerable,she is,-1
weeks,four,now doubled,1
doubt,a,pride beyond,-1
grove,of,the sort,-1
sleep,to,and go,-1
stranger,a,gentleman and,-1
ones,younger,of the,1
blemish,a,to see,-1
school,at,supported him,-1
nothing,hurst,and mr.,-1
admiration,fancy,us women,-1
nothing,speech,such a,-1
good,no,had done,-1
behaviour,his,for him,-1
time,yet,great perseverance,-1
uncle,her,was before,-1
work,her,and gathering,-1
termination,its,rejoiced in,-1
gallantry,his,thanks to,-1
wife,his,of being,-1
character,real,to his,-1
voice,a,continued in,-1
temper,of,tease calmness,-1
idea,this,her but,-1
application,the,frivolous as,-1
mercenary,the,affairs between,-1
news,hertfordshire,talking over,-1
words,ten,scarcely spoke,1
cards,despises,miss bingley,1
letter,his,rest of,-1
air,of,every charm,-1
heart,my,with all,-1
weight,its,materially lessen,-1
pain,any,no one,-1
cassino,at,to play,-1
triumph,s,my cousin,-1
date,the,as to,-1
assistance,to,all claim,-1
family,the,to acquaint,-1
pause,convenient,the first,-1
work,the,was scarcely,-1
anything,cared,whom nobody,-1
women,married,you know,1
feelings,own,elizabeth s,1
life,her,never in,-1
dinners,my,i hope,1
living,the,is that,-1
eye,critical,to the,-1
happiness,of,three days,-1
people,again,come back,1
establishment,that,how soon,-1
game,the,to observe,-1
avowal,shameless,pride his,-1
style,different,in a,-1
morning,next,early the,-1
discretion,the,we discuss,-1
time,another,with eliza,-1
claim,possible,has any,-1
mouth,his,pleasing about,-1
time,your,much of,-1
anything,saw,i never,-1
opportunity,earliest,taking the,-1
studies,their,fears when,1
morning,wednesday,here on,-1
gate,garden,at the,-1
beauty,left,minuteness which,-1
youth,our,part of,-1
officers,the,xvi 95,1
pride,mistaken,to his,-1
distinction,just,fine and,-1
minds,the,fixed in,1
length,at,that way,-1
lottery,of,talked incessantly,-1
others,the,together and,1
pleasure,this,to have,-1
misery,the,again yet,-1
sister,his,messages to,-1
illustration,xlviii,post chapter,-1
daughters,her,and that,1
aunt,my,in on,-1
father,my,very great,-1
minutes,many,under many,1
something,were,unless there,-1
everybody,hertfordshire,liked in,-1
form,common,as a,-1
home,way,all the,-1
truth,the,to confess,-1
day,next,till the,-1
time,same,at the,-1
beauties,the,add to,1
pleasure,whether,to determine,-1
disdain,or,from hauteur,-1
conversation,any,however to,-1
disadvantage,a,is sometimes,-1
tendency,a,every disposition,-1
preparations,by,his side,1
hope,her,civil in,-1
letter,the,part of,-1
inclination,no,lady felt,-1
regiment,the,colonel of,-1
elegance,real,and more,-1
family,his,to all,-1
everything,of,a violation,-1
company,their,others to,-1
security,only,as the,-1
silence,into,disgust him,-1
man,young,for the,-1
head,that,information on,-1
ladies,young,to the,1
ease,with,long letter,-1
marriage,the,in planning,-1
affability,such,of rank,-1
intelligence,his,part of,-1
son,the,young gentleman,-1
girls,the,chooses of,1
man,young,a charming,-1
extort,last,did at,-1
alarm,useless,way to,-1
circumstances,the,ignorant of,1
marriage,than,other terms,-1
thoughts,s,from elizabeth,1
son,younger,feelingly a,-1
humanity,of,than one,-1
sameness,a,affectation and,-1
silence,in,a moment,-1
conjecture,all,it was,-1
idea,any,had before,-1
objects,only,not the,1
thing,a,do such,-1
indifference,noble,it with,-1
marriage,the,her triumph,-1
time,any,secured at,-1
fretfulness,of,something more,-1
route,their,through which,-1
reason,us,forster gives,-1
ramble,solitary,interrupt your,-1
life,of,all walks,-1
spite,in,attachment which,-1
employments,usual,of their,1
father,honoured,of your,-1
plan,his,visit but,-1
coffee,till,any intermission,-1
inclination,an,gardiner expressed,-1
